event_date,daily_trx
2021-06-09,7309
2022-03-28,16059
2022-09-10,30767
2021-08-02,14403
2019-12-09,2785
2020-11-22,2199
2021-04-04,10354
2023-05-29,93359
2022-07-21,39392
2020-04-27,1824
2023-03-16,43353
2019-08-29,1524
2020-05-31,1820
2020-06-13,2526
2021-02-20,4383
2022-02-19,4774
2020-05-12,1675
2021-05-31,12974
2021-02-14,4249
2022-02-04,10539
2023-11-10,61534
2023-01-05,53894
2024-01-28,67087
2021-11-21,4612
2019-11-22,3066
2019-12-03,3167
2023-10-15,39999
2021-09-03,10335
2020-11-20,3085
2019-11-29,4279
2021-07-27,12391
2020-12-12,6631
2021-03-28,5392
2021-03-15,4352
2023-04-18,47674
2023-10-03,100323
2023-02-23,53708
2020-05-08,1701
2019-09-26,2368
2020-01-10,2868
2023-12-18,148616
2022-10-12,43424
2023-11-29,112070
2022-03-03,13636
2021-10-11,7686
2021-05-27,14166
2020-09-23,3230
2020-10-16,3382
2023-11-12,27284
2022-01-26,13155
2022-10-23,26980
2023-02-10,39749
2019-09-28,2822
2020-05-06,1946
2022-07-30,56189
2022-01-07,9236
2022-04-14,7522
2020-12-29,11245
2022-03-10,9946
2020-09-22,3285
2020-08-30,2978
2023-03-22,30771
2022-06-06,10684
2019-09-04,1526
2023-10-18,49012
2020-03-22,958
2020-07-23,2764
2021-07-16,6013
2020-12-07,10033
2022-08-22,59205
2023-02-25,56034
2023-12-01,100088
2021-10-05,11187
2022-01-30,9620
2023-10-28,89169
2023-07-02,58069
2023-06-15,41236
2021-05-21,6131
2020-04-10,1576
2023-04-24,73823
2023-05-03,70821
2020-07-03,3413
2022-12-16,89773
2019-10-09,2722
2021-10-09,5756
2021-01-21,4896
2021-01-12,8974
2023-11-27,167263
2023-08-05,41508
2021-12-15,10556
2021-08-09,8666
2020-07-18,2457
2021-04-12,7317
2022-05-22,6241
2022-12-31,38332
2020-04-14,1502
2021-03-26,7632
2023-01-15,22095
2020-12-14,5634
2023-03-08,47958
2023-11-01,74532
2021-10-24,4646
2019-12-20,3698
2023-12-20,84322
2022-10-14,36103
2020-04-19,928
2023-09-20,34193
2019-10-24,2807
2020-03-07,2484
2022-12-12,75690
2021-03-17,4119
2020-08-17,3446
2023-05-07,31947
2022-09-02,109133
2020-12-01,7941
2019-12-01,1872
2022-06-13,8185
2022-03-16,7735
2022-07-13,47767
2021-06-24,6816
2023-05-24,55713
